university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
itmo,09.03.02 «Информационные системы и технологии»,2026,2026-08-08 14:32:21.821328+00:00,2985,"{""by_target_quota"": 7, ""by_special_quota"": 18, ""by_unusual_quota"": null, ""general_competition"": 175, ""without_entry_tests"": null}",,2985
itmo,09.03.03 «Прикладная информатика»,2026,2026-08-08 14:32:22.130660+00:00,2043,"{""by_target_quota"": 0, ""by_special_quota"": 3, ""by_unusual_quota"": null, ""general_competition"": 30, ""without_entry_tests"": null}",297.0,2043
itmo,09.03.04 «Программная инженерия»,2026,2026-08-08 14:32:22.318124+00:00,3259,"{""by_target_quota"": 6, ""by_special_quota"": 17, ""by_unusual_quota"": null, ""general_competition"": 164, ""without_entry_tests"": null}",299.0,3259
itmo,10.03.01 «Информационная безопасность»,2026,2026-08-08 14:32:22.637525+00:00,2411,"{""by_target_quota"": 4, ""by_special_quota"": 11, ""by_unusual_quota"": null, ""general_competition"": 103, ""without_entry_tests"": null}",284.0,2411
itmo,11.03.02 «Инфокоммуникационные технологии и системы связи»,2026,2026-08-08 14:32:22.893241+00:00,1878,"{""by_target_quota"": 2, ""by_special_quota"": 10, ""by_unusual_quota"": null, ""general_competition"": 95, ""without_entry_tests"": null}",,1878
itmo,12.03.01 «Приборостроение»,2026,2026-08-08 14:32:23.081735+00:00,984,"{""by_target_quota"": 1, ""by_special_quota"": 2, ""by_unusual_quota"": null, ""general_competition"": 15, ""without_entry_tests"": null}",287.0,984
itmo,12.03.04 «Биотехнические системы и технологии»,2026,2026-08-08 14:32:23.350395+00:00,845,"{""by_target_quota"": 0, ""by_special_quota"": 3, ""by_unusual_quota"": null, ""general_competition"": 25, ""without_entry_tests"": null}",287.0,845
itmo,12.03.05 и 12.03.03 «Лазерная техника и лазерные технологии и Фотоника и оптоинформатика»,2026,2026-08-08 14:32:23.212123+00:00,1389,"{""by_target_quota"": 4, ""by_special_quota"": 9, ""by_unusual_quota"": null, ""general_competition"": 85, ""without_entry_tests"": null}",277.0,1389
itmo,13.03.02 «Электроэнергетика и электротехника»,2026,2026-08-08 14:32:23.442998+00:00,886,"{""by_target_quota"": 0, ""by_special_quota"": 2, ""by_unusual_quota"": null, ""general_competition"": 15, ""without_entry_tests"": null}",274.0,886
itmo,15.03.04 и 15.03.06 «Автоматизация технологических процессов и производств и Мехатроника и робототехника»,2026,2026-08-08 14:32:23.543525+00:00,996,"{""by_target_quota"": 7, ""by_special_quota"": 8, ""by_unusual_quota"": null, ""general_competition"": 80, ""without_entry_tests"": null}",277.0,996
itmo,16.03.01 «Техническая физика»,2026,2026-08-08 14:32:23.671002+00:00,1415,"{""by_target_quota"": 0, ""by_special_quota"": 8, ""by_unusual_quota"": null, ""general_competition"": 75, ""without_entry_tests"": null}",281.0,1415
itmo,"18.03.01 и 18.03.02 «Химическая технология и Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии»",2026,2026-08-08 14:32:23.812608+00:00,868,"{""by_target_quota"": 1, ""by_special_quota"": 7, ""by_unusual_quota"": null, ""general_competition"": 65, ""without_entry_tests"": null}",277.0,868
